"Animat","Lifespan","Location x","Location y","Teacher","Reached end"
"Day: 0"
"61","4","13","19","false","false"
"62","4","10","18","false","false"
"63","4","12","18","false","false"
"64","4","8","20","false","false"
"65","4","12","20","false","false"
"66","4","11","19","false","false"
"67","4","12","18","false","false"
"68","4","11","17","false","false"
"69","4","10","18","false","false"
"70","4","12","20","false","false"
"71","4","11","19","false","false"
"72","4","9","19","false","false"
"73","4","8","18","false","false"
"74","4","9","19","false","false"
"75","4","8","18","false","false"
"76","4","7","19","false","false"
"77","4","11","19","false","false"
"78","4","10","18","false","false"
"79","4","11","19","false","false"
"80","4","12","18","false","false"
"81","4","12","18","false","false"
"82","4","11","19","false","false"
"Day: 4"
"0","5","11","18","true","false"
"1","5","8","19","true","false"
"2","5","11","16","true","false"
"3","5","9","18","true","false"
"4","5","10","19","true","false"
"5","5","7","18","true","false"
"6","5","9","18","true","false"
"7","5","12","19","true","false"
"8","5","11","18","true","false"
"9","5","11","18","true","false"
"10","5","11","18","true","false"
"11","5","11","20","true","false"
"12","5","11","18","true","false"
"13","5","11","18","true","false"
"14","5","11","18","true","false"
"15","5","7","18","true","false"
"16","5","12","19","true","false"
"17","5","14","19","false","false"
"18","5","9","18","false","false"
"19","5","10","19","false","false"
"20","5","12","17","false","false"
"21","5","7","18","false","false"
"22","5","7","18","false","false"
"23","5","9","18","false","false"
"24","5","11","20","false","false"
"25","5","12","17","false","false"
"26","5","9","20","false","false"
"27","5","11","20","false","false"
"28","5","8","19","false","false"
"29","5","13","18","false","false"
"30","5","7","18","false","false"
"31","5","9","18","false","false"
"32","5","12","19","false","false"
"33","5","9","18","false","false"
"34","5","12","17","false","false"
"35","5","10","17","false","false"
"36","5","10","19","false","false"
"37","5","13","20","false","false"
"38","5","12","19","false","false"
"39","5","12","17","false","false"
"40","5","12","19","false","false"
"41","5","11","18","false","false"
"42","5","10","19","false","false"
"43","5","9","18","false","false"
"44","5","10","19","false","false"
"45","5","12","19","false","false"
"46","5","12","17","false","false"
"47","5","11","16","false","false"
"48","5","7","20","false","false"
"49","5","11","20","false","false"
"50","5","11","16","false","false"
"51","5","12","19","false","false"
"52","5","11","18","false","false"
"53","5","11","18","false","false"
"54","5","12","19","false","false"
"55","5","8","19","false","false"
"56","5","8","19","false","false"
"57","5","8","19","false","false"
"58","5","11","20","false","false"
"59","5","9","18","false","false"
"60","5","11","18","false","false"
"61","5","12","19","false","false"
"62","5","9","18","false","false"
"63","5","13","18","false","false"
"64","5","9","20","false","false"
"65","5","11","20","false","false"
"66","5","10","19","false","false"
"67","5","12","17","false","false"
"68","5","12","17","false","false"
"69","5","9","18","false","false"
"70","5","13","20","false","false"
"71","5","12","19","false","false"
"72","5","10","19","false","false"
"73","5","7","18","false","false"
"74","5","8","19","false","false"
"75","5","9","18","false","false"
"76","5","8","19","false","false"
"77","5","12","19","false","false"
"78","5","11","18","false","false"
"79","5","10","19","false","false"
"80","5","11","18","false","false"
"81","5","13","18","false","false"
"82","5","11","18","false","false"
"Day: 5"
"0","6","11","17","true","false"
"1","6","9","19","true","false"
"2","6","10","16","true","false"
"3","6","8","18","true","false"
"4","6","10","18","true","false"
"5","6","6","18","true","false"
"6","6","9","17","true","false"
"7","6","13","19","true","false"
"8","6","12","18","true","false"
"9","6","10","18","true","false"
"10","6","12","18","true","false"
"11","6","11","19","true","false"
"12","6","11","17","true","false"
"13","6","10","18","true","false"
"14","6","10","18","true","false"
"15","6","7","17","true","false"
"16","6","13","19","true","false"
"17","6","14","18","false","false"
"18","6","9","17","false","false"
"19","6","10","18","false","false"
"20","6","11","17","false","false"
"21","6","6","18","false","false"
"22","6","7","17","false","false"
"23","6","8","18","false","false"
"24","6","10","20","false","false"
"25","6","13","17","false","false"
"26","6","10","20","false","false"
"27","6","10","20","false","false"
"28","6","8","18","false","false"
"29","6","12","18","false","false"
"30","6","8","18","false","false"
"31","6","8","18","false","false"
"32","6","12","18","false","false"
"33","6","9","17","false","false"
"34","6","13","17","false","false"
"35","6","11","17","false","false"
"36","6","9","19","false","false"
"37","6","12","20","false","false"
"38","6","11","19","false","false"
"39","6","11","17","false","false"
"40","6","11","19","false","false"
"41","6","10","18","false","false"
"42","6","9","19","false","false"
"43","6","10","18","false","false"
"44","6","11","19","false","false"
"45","6","11","19","false","false"
"46","6","12","16","false","false"
"47","6","10","16","false","false"
"48","6","7","19","false","false"
"49","6","10","20","false","false"
"50","6","12","16","false","false"
"51","6","11","19","false","false"
"52","6","10","18","false","false"
"53","6","11","17","false","false"
"54","6","11","19","false","false"
"55","6","8","18","false","false"
"56","6","7","19","false","false"
"57","6","8","18","false","false"
"58","6","12","20","false","false"
"59","6","8","18","false","false"
"60","6","11","17","false","false"
"61","6","11","19","false","false"
"62","6","8","18","false","false"
"63","6","13","17","false","false"
"64","6","8","20","false","false"
"65","6","10","20","false","false"
"66","6","10","18","false","false"
"67","6","11","17","false","false"
"68","6","11","17","false","false"
"69","6","9","17","false","false"
"70","6","13","19","false","false"
"71","6","13","19","false","false"
"72","6","9","19","false","false"
"73","6","8","18","false","false"
"74","6","9","19","false","false"
"75","6","10","18","false","false"
"76","6","9","19","false","false"
"77","6","11","19","false","false"
"78","6","12","18","false","false"
"79","6","11","19","false","false"
"80","6","10","18","false","false"
"81","6","13","17","false","false"
"82","6","10","18","false","false"
"Day: 6"
"0","7","10","17","true","false"
"1","7","10","19","true","false"
"2","7","10","15","true","false"
"3","7","8","17","true","false"
"4","7","11","18","true","false"
"5","7","5","18","true","false"
"6","7","8","17","true","false"
"7","7","13","18","true","false"
"8","7","12","17","true","false"
"9","7","9","18","true","false"
"10","7","12","17","true","false"
"11","7","10","19","true","false"
"12","7","12","17","true","false"
"13","7","11","18","true","false"
"14","7","11","18","true","false"
"15","7","8","17","true","false"
"16","7","14","19","true","false"
"17","7","13","18","false","false"
"18","7","9","16","false","false"
"19","7","9","18","false","false"
"20","7","10","17","false","false"
"21","7","5","18","false","false"
"22","7","7","16","false","false"
"23","7","7","18","false","false"
"24","7","11","20","false","false"
"25","7","14","17","false","false"
"26","7","9","20","false","false"
"27","7","10","19","false","false"
"28","7","7","18","false","false"
"29","7","13","18","false","false"
"30","7","7","18","false","false"
"31","7","9","18","false","false"
"32","7","13","18","false","false"
"33","7","8","17","false","false"
"34","7","12","17","false","false"
"35","7","10","17","false","false"
"36","7","8","19","false","false"
"37","7","12","19","false","false"
"38","7","10","19","false","false"
"39","7","12","17","false","false"
"40","7","10","19","false","false"
"41","7","11","18","false","false"
"42","7","10","19","false","false"
"43","7","10","17","false","false"
"44","7","12","19","false","false"
"45","7","10","19","false","false"
"46","7","12","15","false","false"
"47","7","11","16","false","false"
"48","7","8","19","false","false"
"49","7","11","20","false","false"
"50","7","13","16","false","false"
"51","7","10","19","false","false"
"52","7","11","18","false","false"
"53","7","12","17","false","false"
"54","7","10","19","false","false"
"55","7","9","18","false","false"
"56","7","6","19","false","false"
"57","7","9","18","false","false"
"58","7","12","19","false","false"
"59","7","7","18","false","false"
"60","7","12","17","false","false"
"61","7","11","18","false","false"
"62","7","7","18","false","false"
"63","7","12","17","false","false"
"64","7","9","20","false","false"
"65","7","11","20","false","false"
"66","7","9","18","false","false"
"67","7","10","17","false","false"
"68","7","12","17","false","false"
"69","7","10","17","false","false"
"70","7","13","18","false","false"
"71","7","13","18","false","false"
"72","7","10","19","false","false"
"73","7","9","18","false","false"
"74","7","8","19","false","false"
"75","7","11","18","false","false"
"76","7","9","18","false","false"
"77","7","12","19","false","false"
"78","7","12","17","false","false"
"79","7","11","18","false","false"
"80","7","9","18","false","false"
"81","7","13","16","false","false"
"82","7","11","18","false","false"
"Day: 7"
"0","8","9","17","true","false"
"1","8","11","19","true","false"
"2","8","10","14","true","false"
"3","8","8","16","true","false"
"4","8","11","17","true","false"
"5","8","6","18","true","false"
"6","8","7","17","true","false"
"7","8","12","18","true","false"
"8","8","11","17","true","false"
"9","8","8","18","true","false"
"10","8","13","17","true","false"
"11","8","9","19","true","false"
"12","8","11","17","true","false"
"13","8","10","18","true","false"
"14","8","10","18","true","false"
"15","8","7","17","true","false"
"16","8","14","18","true","false"
"17","8","12","18","false","false"
"18","8","9","15","false","false"
"19","8","10","18","false","false"
"20","8","9","17","false","false"
"21","8","4","18","false","false"
"22","8","6","16","false","false"
"23","8","6","18","false","false"
"24","8","11","19","false","false"
"25","8","13","17","false","false"
"26","8","8","20","false","false"
"27","8","10","18","false","false"
"28","8","8","18","false","false"
"29","8","14","18","false","false"
"30","8","8","18","false","false"
"31","8","10","18","false","false"
"32","8","13","17","false","false"
"33","8","7","17","false","false"
"34","8","13","17","false","false"
