"Animat","Nearest stone","Distance to water","Distance from start","Distance to end","Has stone"
"37","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"38","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"39","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"40","6.082762530298219","17.0","0.0","18.0","0.0"
"41","6.082762530298219","17.0","0.0","18.0","0.0"
"42","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"43","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"44","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"45","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"46","6.082762530298219","17.0","0.0","18.0","0.0"
"47","6.082762530298219","17.0","0.0","18.0","0.0"
"48","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"49","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"50","6.082762530298219","17.0","0.0","18.0","0.0"
"51","6.082762530298219","17.0","0.0","18.0","0.0"
"52","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"53","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"54","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"55","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"56","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"57","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"58","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"59","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"60","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"61","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"62","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"63","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"64","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"65","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"66","6.082762530298219","17.0","0.0","18.0","0.0"
"67","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"68","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"69","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"70","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"71","6.082762530298219","17.0","0.0","18.0","0.0"
"72","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"73","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"74","6.082762530298219","17.0","0.0","18.0","0.0"
"75","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"76","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"77","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"78","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"79","6.082762530298219","17.0","0.0","18.0","0.0"
"80","6.082762530298219","17.0","0.0","18.0","0.0"
"81","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"82","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"83","6.082762530298219","17.0","0.0","18.0","0.0"
"84","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"85","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"86","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"87","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"88","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"89","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"90","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"91","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"92","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"93","6.082762530298219","17.0","0.0","18.0","0.0"
"94","6.082762530298219","17.0","0.0","18.0","0.0"
"95","6.082762530298219","17.0","0.0","18.0","0.0"
"96","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"97","6.082762530298219","17.0","0.0","18.0","0.0"
"98","6.082762530298219","17.0","0.0","18.0","0.0"
"99","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"100","6.082762530298219","17.0","0.0","18.0","0.0"
"0","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"1","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"2","6.0","17.0","1.0","18.027756377319946","0.0"
"3","6.0","17.0","1.0","18.027756377319946","0.0"
"4","5.0990195135927845","16.0","1.0","17.0","0.0"
"5","5.0990195135927845","16.0","1.0","17.0","0.0"
"6","6.0","17.0","1.0","18.027756377319946","0.0"
"7","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"8","7.0710678118654755","18.0","1.0","19.0","0.0"
"9","6.0","17.0","1.0","18.027756377319946","0.0"
"10","5.0990195135927845","16.0","1.0","17.0","0.0"
"11","6.0","17.0","1.0","18.027756377319946","0.0"
"12","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"13","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"14","7.0710678118654755","18.0","1.0","19.0","0.0"
"15","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"16","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"17","6.0","17.0","1.0","18.027756377319946","0.0"
"18","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"19","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"20","6.0","17.0","1.0","18.027756377319946","0.0"
"21","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"22","7.0710678118654755","18.0","1.0","19.0","0.0"
"23","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"24","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"25","7.0710678118654755","18.0","1.0","19.0","0.0"
"26","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"27","7.0710678118654755","18.0","1.0","19.0","0.0"
"28","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"29","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"30","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"31","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"32","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"33","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"34","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"35","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"36","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"37","7.0710678118654755","18.0","1.0","19.0","0.0"
"38","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"39","7.0710678118654755","18.0","1.0","19.0","0.0"
"40","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"41","5.0990195135927845","16.0","1.0","17.0","0.0"
"42","6.0","17.0","1.0","18.027756377319946","0.0"
"43","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"44","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"45","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"46","5.0990195135927845","16.0","1.0","17.0","0.0"
"47","5.0990195135927845","16.0","1.0","17.0","0.0"
"48","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"49","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"50","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"51","5.0990195135927845","16.0","1.0","17.0","0.0"
"52","6.324555320336759","17.0","1.0","18.027756377319946","0.0"
"53","7.0710678118654755","18.0","2.23606797749979","19.1049731745428","0.0"
"54","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"55","7.0710678118654755","18.0","1.0","19.0","0.0"
"56","7.0710678118654755","18.0","1.0","19.0","0.0"
"57","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"58","7.0710678118654755","18.0","1.0","19.0","0.0"
"59","7.0710678118654755","18.0","1.0","19.0","0.0"
"60","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
"61","7.615773105863909","18.0","2.23606797749979","19.1049731745428","0.0"
