"Generation","Best Fitness","Worst Fitness","Mean Fitness","Standard Deviation","Best Lifespan","Worst Lifespan","Mean Lifespan","Standard Deviation Lifespan","Died","Reached end"
"3600","1.0","0.0","0.304","0.4599826083668816","13.0","1000.0","461.336","313.70995378533974","0.556","0.304"
"3601","1.0","0.0","0.272","0.4449898875255482","39.0","1000.0","504.864","323.10379370103334","0.544","0.272"
"3602","1.0","0.0","0.296","0.45649096376598736","26.0","1000.0","518.468","308.1711488377846","0.556","0.296"
"3603","1.0","0.0","0.304","0.4599826083668816","14.0","1000.0","469.752","321.24627701500316","0.544","0.304"
"3604","1.0","0.0","0.312","0.4633098315382483","34.0","1000.0","490.912","321.4042567484131","0.532","0.312"
"3605","1.0","0.0","0.3","0.45825756949558394","23.0","1000.0","486.648","314.8265492235368","0.544","0.3"
"3606","1.0","0.0","0.348","0.47633601585435464","24.0","1000.0","486.972","304.56655629927593","0.512","0.348"
"3607","1.0","0.0","0.352","0.4775939698111776","25.0","1000.0","475.656","303.2013351949493","0.532","0.352"
"3608","1.0","0.0","0.324","0.46799999999999997","21.0","1000.0","499.676","322.9623058872348","0.504","0.324"
"3609","1.0","0.0","0.328","0.4694848240358787","16.0","1000.0","489.132","324.56942951547336","0.5","0.328"
"3610","1.0","0.0","0.284","0.45093680266751346","22.0","1000.0","504.964","338.4927099717213","0.492","0.284"
"3611","1.0","0.0","0.304","0.4599826083668816","25.0","1000.0","525.668","319.07270296282","0.52","0.304"
"3612","1.0","0.0","0.344","0.4750410508577127","34.0","1000.0","500.148","325.4637646436234","0.468","0.344"
"3613","1.0","0.0","0.308","0.46166654632970755","23.0","1000.0","438.768","301.25523095209485","0.572","0.308"
"3614","1.0","0.0","0.296","0.45649096376598736","21.0","1000.0","483.404","315.88467639947345","0.568","0.296"
"3615","1.0","0.0","0.328","0.4694848240358787","24.0","1000.0","485.84","311.95855878625946","0.524","0.328"
"3616","1.0","0.0","0.308","0.46166654632970755","13.0","1000.0","493.028","323.76363479550946","0.544","0.308"
"3617","1.0","0.0","0.296","0.45649096376598736","32.0","1000.0","488.2","315.66254133172","0.532","0.296"
"3618","1.0","0.0","0.296","0.45649096376598736","21.0","1000.0","468.76","322.73348509257613","0.556","0.296"
"3619","1.0","0.0","0.344","0.4750410508577127","27.0","1000.0","496.92","327.29045448958647","0.472","0.344"
"3620","1.0","0.0","0.352","0.4775939698111776","20.0","1000.0","471.16","312.1120157892034","0.528","0.352"
"3621","1.0","0.0","0.284","0.45093680266751346","18.0","1000.0","451.076","321.49282764005795","0.556","0.284"
"3622","1.0","0.0","0.32","0.466476151587624","32.0","1000.0","497.056","317.895877393841","0.512","0.32"
"3623","1.0","0.0","0.328","0.4694848240358787","23.0","1000.0","476.304","306.023913418543","0.544","0.328"
"3624","1.0","0.0","0.248","0.43185182644050496","31.0","1000.0","500.152","329.4611978609926","0.592","0.248"
"3625","1.0","0.0","0.364","0.481148625686492","17.0","1000.0","510.7","314.4911350101936","0.488","0.364"
"3626","1.0","0.0","0.304","0.4599826083668816","31.0","1000.0","476.748","310.9001326728568","0.568","0.304"
"3627","1.0","0.0","0.316","0.46491289506745237","28.0","1000.0","486.332","321.20756805529976","0.536","0.316"
