"Animat","Day","Location x:","Location y:","Teacher"
"Day: 0"
"52","7","7","18","false"
"53","7","12","19","false"
"54","7","7","16","false"
"55","7","9","16","false"
"56","7","13","18","false"
"57","7","11","18","false"
"58","7","12","17","false"
"59","7","7","18","false"
"60","7","7","18","false"
"61","7","10","15","false"
"62","7","11","18","false"
"63","7","11","18","false"
"64","7","7","16","false"
"65","7","15","20","false"
"66","7","12","17","false"
"67","7","11","18","false"
"68","7","9","16","false"
"69","7","12","19","false"
"70","7","15","18","false"
"71","7","14","19","false"
"72","7","12","19","false"
"73","7","11","16","false"
"74","7","10","17","false"
"75","7","10","15","false"
"76","7","9","18","false"
"77","7","10","15","false"
"78","7","14","17","false"
"79","7","13","18","false"
"80","7","11","18","false"
"81","7","9","16","false"
"82","7","12","19","false"
"83","7","8","17","false"
"84","7","9","16","false"
"85","7","5","18","false"
"86","7","13","18","false"
"87","7","11","18","false"
"88","7","12","17","false"
"89","7","7","18","false"
"90","7","8","17","false"
"91","7","8","19","false"
"92","7","6","19","false"
"93","7","7","18","false"
"94","7","11","16","false"
"95","7","7","18","false"
"96","7","13","18","false"
"97","7","8","19","false"
"98","7","13","16","false"
"99","7","10","17","false"
"100","7","4","19","false"
"Day: 7"
"0","8","13","19","true"
"1","8","12","16","true"
"2","8","10","18","true"
"3","8","8","16","true"
"4","8","11","19","true"
"5","8","8","18","true"
"6","8","9","17","true"
"7","8","10","16","true"
"8","8","8","16","true"
"9","8","7","17","true"
"10","8","9","19","true"
"11","8","8","18","true"
"12","8","7","15","true"
"13","8","8","18","true"
"14","8","13","19","true"
"15","8","13","17","true"
"16","8","7","17","true"
"17","8","7","17","true"
"18","8","9","17","true"
"19","8","8","16","true"
"20","8","13","19","false"
"21","8","9","17","false"
"22","8","7","19","false"
"23","8","14","18","false"
"24","8","12","16","false"
"25","8","15","17","false"
"26","8","11","17","false"
"27","8","8","16","false"
"28","8","11","15","false"
"29","8","6","16","false"
"30","8","7","17","false"
"31","8","10","18","false"
"32","8","7","19","false"
"33","8","10","18","false"
"34","8","10","18","false"
"35","8","11","19","false"
"36","8","12","18","false"
"37","8","12","16","false"
"38","8","7","17","false"
"39","8","9","17","false"
"40","8","9","19","false"
"41","8","11","17","false"
"42","8","8","16","false"
"43","8","11","15","false"
"44","8","7","17","false"
"45","8","10","16","false"
"46","8","12","18","false"
"47","8","3","19","false"
"48","8","10","18","false"
"49","8","13","19","false"
"50","8","9","15","false"
"51","8","7","19","false"
"52","8","7","17","false"
"53","8","13","19","false"
"54","8","7","15","false"
"55","8","8","16","false"
"56","8","14","18","false"
"57","8","10","18","false"
"58","8","12","16","false"
"59","8","7","17","false"
"60","8","6","18","false"
"61","8","9","15","false"
"62","8","11","17","false"
"63","8","12","18","false"
"64","8","8","16","false"
"65","8","14","20","false"
"66","8","13","17","false"
"67","8","12","18","false"
"68","8","8","16","false"
"69","8","13","19","false"
"70","8","15","17","false"
"71","8","15","19","false"
"72","8","13","19","false"
"73","8","11","15","false"
"74","8","9","17","false"
"75","8","9","15","false"
"76","8","10","18","false"
"77","8","11","15","false"
"78","8","14","16","false"
"79","8","13","17","false"
"80","8","12","18","false"
"81","8","8","16","false"
"82","8","12","18","false"
"83","8","8","16","false"
"84","8","9","15","false"
"85","8","6","18","false"
"86","8","13","17","false"
"87","8","11","17","false"
"88","8","12","16","false"
"89","8","8","18","false"
"90","8","7","17","false"
"91","8","8","18","false"
"92","8","6","18","false"
"93","8","8","18","false"
"94","8","10","16","false"
"95","8","7","17","false"
"96","8","13","17","false"
"97","8","7","19","false"
"98","8","12","16","false"
"99","8","10","16","false"
"100","8","5","19","false"
"Day: 8"
"0","9","14","19","true"
"1","9","12","15","true"
